Sl No,Name,Start Date,End Date,Days,Party
1,Jawahar Lal Nehru,05-Aug-47,27-May-64,6140,INC
2,Gulzarilal Nanda,27-May-64,09-Jun-64,13,INC
3,Lal Bahadur Shastri,09-Jun-64,11-Jan-66,581,INC
4,Indira Gandhi,24-Jan-66,24-Mar-77,4077,INC
5,Morarji Desai,24-Mar-77,28-Jul-79,856,JP
6,Charan Singh,28-Jul-79,14-Jan-80,170,JP
7,Indira Gandhi,14-Jan-80,31-Oct-84,1752,INC
8,Rajiv Gandhi,31-Oct-84,02-Dec-89,1858,INC
9,V.P.Singh,02-Dec-89,10-Nov-90,343,JD
10,Chandra Shekhar,10-Nov-90,21-Jun-91,223,SJP
11,P.V.Narasimha Rao,21-Jun-91,16-May-96,1791,INC
12,Atal Bihari Vajpayee,16-May-96,01-Jun-96,16,BJP
13,H.D.Deve Gowda,01-Jun-96,21-Apr-97,324,JD
14,Inder Kumar Gujral,21-Apr-97,19-Mar-98,332,JD
15,Atal Bihari Vajpayee,19-Mar-98,22-May-04,2256,BJP
16,Manmohan Singh,22-May-04,06-May-14,3636,INC
17,Narendra Modi,26-May-14,22-Jan-20,2067,BJP
